,1,2,3,4,5,6,7,8,9,10,11,12,13
1,0,0,0,0,0,0,0,0,0,0,0,0,0
2,7,2,1,3,1,1,3,7.137320579,5.646482199,1.928438133,2.298285853,-0.013961146,7.158350452
3,7,3,2,4,2,2,4,5.729153988,3.28167396,-1.69479918,2.835204766,6.24243703,-0.424346034
4,6,2.3,3,2,1,2,5,5.725794183,2.701285703,2.17533493,2.503233282,-1.120821633,3.268636648
5,7,1,3,3,2,2,4,7.708118769,4.006191742,3.469790077,4.29148579,2.614363526,2.109042069
6,6,2,3,4,1,1,3,8.463532306,4.218903612,7.942380433,3.162871773,2.109214001,0.984915726
7,6,3,3,5,2,2,4,5.661963328,3.776926056,1.838908836,9.593476331,-0.061262591,-2.114906782
8,5,4,2,3,1,2,2,4.879397313,5.391218398,3.077012363,3.161667835,0.031347076,0.817077139
9,6,2,3,4,2,2,5,5.831202616,6.291301027,0.663360311,4.059475156,4.364916825,2.006854897
10,3,4,2,2,4,2,5,3.018259284,5.831243586,-0.840046932,2.890828904,0.067623829,4.931011543
11,2,5,3,1,2,3,6,3.299515913,1.036882701,4.461695404,1.382033852,2.627053412,5.76123419
12,3,4,4,3,3,2,7,2.743847058,7.077418742,4.476651508,1.755914504,5.225797136,3.276326857
13,3,5,1,2,4,3,7,-0.567159617,1.615371908,2.792711918,0.966646691,1.99851865,4.811525615
14,2,3,2,1,5,1,6,1.988491918,3.197990135,2.336134593,-3.036094448,7.573224836,-1.276469273
15,1,6,3,1,6,2,5,1.261674873,3.201668681,4.880032191,0.244580518,7.847181033,-0.923172521
16,3,7,2,2,4,3,6,2.791000589,10.66336168,1.532038489,4.16220084,5.09448907,2.654971307
17,2,3,2,2,5,4,7,7.679713066,4.858429056,0.880853065,1.140286917,4.324187418,4.440655445
18,1,4,3,1,4,3,7,2.983438008,2.210187817,5.227660525,1.660527309,4.327341877,4.01239709
19,3,1,7,1,6,3,6,2.867421444,2.892102049,7.725369935,0.34087423,1.62589976,1.152746126
20,0,2,7,2,7,4,7,-0.754551402,1.610551985,7.989143862,-0.002724582,7.989067894,5.173263062
21,2,3,5,3,8,3,5,0.726838819,5.29328762,7.834507046,3.225277778,9.855928908,3.743124668
22,3,1,6,2,7,3,4,3.852171052,-1.72741762,5.097468923,2.642360561,6.990148722,3.641522554
23,1,2,6,1,6,4,5,1.143187381,0.48552234,6.933707132,-1.651031177,5.576639915,4.19435107
24,4,3,4,2,7,2,6,8.631771648,5.603326077,2.338568395,4.548018124,10.60462121,1.634624624
25,3,1,5,2,8,3,7,5.445131992,3.637729578,6.525837077,7.676283718,7.939970529,1.388644593
26,1,2,6,1,6,4,6,-0.01750351,0.910282723,4.755818742,0.970999015,4.159510197,7.439436379
27,2,3,7,2,7,2,5,-0.075824346,2.552753242,12.28869555,3.072209917,5.472206148,5.177063847
28,3,4,3,1,4,3,4,1.709423298,1.64272354,3.752816111,2.317965547,0.932011011,2.076225515
29,4,1,1,7,2,2,3,5.10421242,0.454819302,2.771549295,6.979614505,-0.53039574,-0.213308017
30,5,2,2,4,3,1,2,2.200020329,2.622637037,3.269365347,4.407473573,5.651382274,-0.303504191
31,3,2,3,6,2,3,4,4.479600013,4.830636984,3.740502474,4.317106645,4.322086211,3.342994403
32,3,3,3,7,1,2,3,3.143108592,5.919454093,3.283286317,7.395361706,0.14687485,1.621347809
33,2,4,2,4,2,1,1,4.370872399,3.691585732,-1.444034432,3.846026166,-0.317098764,1.492129268
34,3,2,2,5,3,2,5,5.001534299,-1.190999485,5.163838441,5.497212565,2.529189759,2.54454623
35,4,2,2,6,1,2,6,3.83086243,3.453294214,4.684417758,6.830978543,3.26133482,3.558494481
36,2,1,3,5,2,2,3,0.611884945,4.35442094,1.925184246,5.785272438,2.676100536,2.654987347
37,1,3,3,4,3,1,2,2.927200183,7.512047186,2.706223598,5.358662663,2.263115011,-0.091565055
38,2,3,2,4,5,1,2,2.157532452,2.396616978,1.57077281,5.652673451,4.535441821,-0.325076506
39,4,4,1,5,4,2,2,1.531233946,4.269615214,-0.097726199,3.909935121,6.360516703,2.537438368
40,5,5,2,4,5,1,2,7.218041576,4.71070251,3.112528244,3.446130275,0.590167394,-1.797630199
41,3,3,1,5,6,2,1,2.809038289,1.747609679,2.136247377,3.868542494,6.168131759,4.363084277
42,5,4,2,6,7,3,3,6.472235034,3.494809129,0.680216625,2.579348276,8.610540244,6.751878622
43,2,3,3,5,5,2,3,3.704530317,3.208692835,1.579024043,2.918457317,4.506311763,2.88709879
