,1,2,3,4,5,6,7,8,9,10,11,12,13
1,0,0,0,0,0,0,0,0,0,0,0,0,0
2,7,2,1,3,1,1,3,7.905221382,4.525301759,3.701626863,1.233253785,3.308701184,5.069709003
3,7,3,2,4,2,2,4,3.80032381,5.421798301,3.183808486,5.627054631,8.053180086,3.55525106
4,6,2.3,3,2,1,2,5,5.731687487,-0.910556759,3.080881998,-3.763106189,-3.642691898,6.389464061
5,7,1,3,3,2,2,4,3.679974295,-1.621951601,4.926298865,3.775347677,7.368336705,2.869116873
6,6,2,3,4,1,1,3,8.208937372,4.5005669,-1.032809119,4.076818183,0.859305778,8.202236107
7,6,3,3,5,2,2,4,9.602455266,0.952086714,1.499320221,0.486167013,0.192631559,5.519523407
8,5,4,2,3,1,2,2,4.766426575,4.38876448,5.200197363,5.607195259,4.952097817,2.118617438
9,6,2,3,4,2,2,5,9.933653129,1.835789028,1.070616477,6.106849602,-0.745708384,-0.289188297
10,3,4,2,2,4,2,5,5.988869547,0.332746657,4.040922515,5.841520006,3.915367157,1.25670719
11,2,5,3,1,2,3,6,-1.70916029,8.888604103,4.455076483,0.103836805,3.246202126,-2.632869595
12,3,4,4,3,3,2,7,6.757075557,-0.296341996,7.737710474,3.568628903,6.191859573,-1.851383562
13,3,5,1,2,4,3,7,-1.479751815,7.721907037,1.235627776,3.335656447,8.489398711,1.149390092
14,2,3,2,1,5,1,6,3.891654849,2.139950497,4.234056356,3.071992491,7.637364512,0.272594196
15,1,6,3,1,6,2,5,3.094701971,1.920908241,2.747578165,0.611738815,5.758736316,2.60609203
16,3,7,2,2,4,3,6,4.148980422,7.326772795,-1.77131457,3.249662425,1.120140422,6.732106924
17,2,3,2,2,5,4,7,3.488654134,4.147942851,1.472912938,5.239015164,6.175963465,7.618280085
18,1,4,3,1,4,3,7,-3.743063917,4.605955142,4.013923711,-0.693607153,7.178424229,5.441664851
19,3,1,7,1,6,3,6,-1.526625467,1.748691101,5.415817691,1.146154642,1.304996218,-4.409364345
20,0,2,7,2,7,4,7,3.85518055,-5.158960192,2.694634685,4.185587795,13.97733455,5.821857198
21,2,3,5,3,8,3,5,2.426782525,4.323734346,9.054911131,3.53587003,12.57294577,-4.532771964
22,3,1,6,2,7,3,4,6.711513477,7.674706004,7.864291552,4.731503133,5.602644393,3.302349494
23,1,2,6,1,6,4,5,5.407963365,6.759849167,2.646392947,0.495688432,6.79981025,5.483589079
24,4,3,4,2,7,2,6,3.383324478,2.695336974,5.094724495,8.133845369,4.560616089,3.280055603
25,3,1,5,2,8,3,7,6.629609759,-3.097167878,1.435242885,3.97870011,5.40500422,3.455345942
26,1,2,6,1,6,4,6,4.893381409,3.533210897,7.371203835,1.186912619,8.850358377,4.24703629
27,2,3,7,2,7,2,5,6.297885468,0.970675943,9.096475508,4.326735093,8.33922864,3.617847468
28,3,4,3,1,4,3,4,-2.445911523,6.462839432,-0.626322115,1.804713876,7.502968296,-0.129359591
29,4,1,1,7,2,2,3,2.305377407,7.251800173,7.460720096,4.018611722,2.319524861,4.092467195
30,5,2,2,4,3,1,2,0.602773791,0.504160727,-2.327815103,-1.256303978,2.978982611,2.529717867
31,3,2,3,6,2,3,4,5.989556661,4.046870776,0.252833994,7.989062084,-2.089769865,8.265814047
32,3,3,3,7,1,2,3,-0.86066431,-0.759486555,2.438116541,7.367510959,-3.868801674,2.406639489
33,2,4,2,4,2,1,1,1.567824343,5.464953687,1.688641049,-0.143872757,3.693587584,4.166023895
34,3,2,2,5,3,2,5,5.338489932,3.984821175,0.44627267,6.723318158,8.75476066,4.894383503
35,4,2,2,6,1,2,6,4.010641734,1.567172709,4.023368734,8.418922833,-0.730449005,6.168090699
36,2,1,3,5,2,2,3,4.061347013,-2.283159871,2.488095632,4.517198735,0.597780379,-5.844160161
37,1,3,3,4,3,1,2,3.385485039,4.072284079,4.536556341,8.002733776,3.815560448,2.177158348
38,2,3,2,4,5,1,2,4.788557534,-0.466208708,5.012069879,6.319688947,2.888336002,-4.123073415
39,4,4,1,5,4,2,2,7.031238523,2.406014321,-0.600228393,5.752547812,-2.802939147,-0.153501911
40,5,5,2,4,5,1,2,2.927245341,7.839591262,4.297016179,4.061452868,1.792102246,1.104906141
41,3,3,1,5,6,2,1,2.964738636,7.17999718,3.451995228,3.660135746,6.330623663,3.509213376
42,5,4,2,6,7,3,3,5.128523922,8.310151379,3.608792305,5.878817618,3.465775474,7.823770999
43,2,3,3,5,5,2,3,3.755524389,0.25392995,1.092612446,4.481656609,5.840377427,4.771594371
