Column1,y1,g2,r3,b4,vio5,bro6,7(Y&G),8(R&B),9(VIO&BRO),10(BRO&Y),11(G&B),12(R&VIO),13(G&BRO)
1,0,0,0,0,0,0,0,0,0,0,0,0,0
2,11.12508757,3.225392384,2.438903879,1.970430167,5.241383757,2.959342657,3.161598372,0.623101704,3.624024246,7.054950636,1.756709799,2.282310095,3.599390378
3,1.2128902,6.54174829,1.886639965,5.787094002,0.90639819,4.578188376,3.737047701,7.38864606,5.502057114,-0.605565649,4.241001536,3.272388029,4.527520743
4,2.691352281,12.85024181,4.248018042,3.93387195,2.115726853,-2.297393272,4.954809077,3.117224625,4.342083005,1.88030985,8.91592347,2.122821383,6.367244691
5,4.378522041,5.251218312,7.188497646,6.461229825,3.145172413,-0.592936615,7.047169754,3.04036704,3.479652534,3.051787888,0.920311207,4.945026018,3.804578475
6,5.58504167,0.905554353,2.643398873,0.341111208,5.823697873,0.856653258,1.540387388,3.51448486,7.027560688,3.704010785,4.000224636,2.569947577,3.003475634
7,0.69485587,5.044188002,2.910219818,1.17574229,3.604299913,4.405711972,1.055752076,2.837388627,2.060675147,2.44755819,2.287967392,4.156797467,6.225211047
8,2.060801325,3.624232258,0.202704048,9.898314399,6.010037607,-0.443775763,4.200613952,7.81100059,4.879446458,4.614773977,8.30853152,1.457525479,5.124716
9,9.953474207,3.43791947,3.582384128,1.318860692,7.549924761,1.444096728,8.421688391,2.102367271,2.56596005,3.774295269,3.956390643,2.536258335,2.709091263
10,2.287024647,4.250949348,4.205250906,2.755070734,3.717851439,3.403187574,3.568229268,3.181833864,7.982093925,2.296616615,0.815368036,0.055119235,8.930912434
11,4.90803439,6.834927887,4.228503053,-0.486493295,2.131526258,-0.298873806,2.713403916,2.049045761,1.954421332,1.614605098,6.899043911,-1.196573319,2.427850468
12,1.812250846,5.750657147,2.375599669,3.165442574,4.499433897,7.501545598,2.962253994,3.310122342,2.711013901,4.742452221,3.222835808,2.566649077,5.13302712
13,3.038901713,3.025294961,1.802863204,4.017501572,10.32872456,2.112571468,1.931995816,3.257797981,6.993191229,3.973702626,3.007707787,2.451805394,2.419188113
14,2.954950235,0.237949743,2.421271411,1.847804899,7.894078406,4.092770076,0.261329943,5.175750285,1.017090507,1.667213806,2.096424997,3.316550664,3.376774856
15,4.493395893,0.927024627,1.898160032,3.250019784,5.502838997,4.956373244,2.517595235,1.675267582,3.938552497,7.283230898,2.825386943,4.586989783,11.25169244
16,2.620131434,0.537324189,2.285054822,4.443747241,-1.688005502,2.229302778,4.777640036,5.148501932,1.193053856,1.462690968,7.319645778,1.361835175,1.135411533
17,3.903914224,6.31108741,4.192352324,7.620989375,4.649961577,5.049618899,0.999447711,0.741827076,5.064533779,6.562020926,2.851402933,-0.907320314,5.452599331
18,9.086732442,2.022631726,4.89329536,7.994852994,3.466246732,3.179815639,4.054552686,3.199200925,5.081508727,5.103956354,1.005504907,3.876744948,1.620884923
19,1.900375853,1.592802393,6.12378405,1.708255679,7.611500801,5.894904975,3.306565507,0.535115471,5.551330284,4.199164556,4.170698161,7.074230528,4.060437755
20,0.285676566,0.860012821,3.352044598,1.925805082,2.734346098,4.597072997,2.46660171,0.726044819,7.70126546,3.186061317,1.809409195,1.480179239,7.226175407
21,-1.647581213,8.27264914,2.534640478,1.519510205,3.588286219,-0.324192035,6.079496655,3.921045317,6.137929833,6.96888515,6.488034604,5.547899683,5.664015589
22,3.537794999,2.788359708,5.929650506,1.732747286,5.644344509,1.994848865,-0.067027806,6.080755664,0.128649082,1.187227997,0.977217324,7.08660294,1.915085587
23,3.374349253,2.037142815,-2.51699127,6.465208897,1.581559787,2.19505678,5.569032732,3.979626431,-0.384734578,1.809100362,6.343275499,4.010464411,2.628415498
24,6.052658568,2.784757283,3.637729053,2.926753173,2.474653915,5.545617656,2.220122683,1.78555041,5.768618569,6.765653099,4.478164435,2.713918929,6.482005918
25,5.150650365,8.54222919,4.349541329,6.357656894,3.274323007,2.377949387,2.886432597,2.650395379,1.989191115,4.018880295,3.135676122,1.820246357,8.360213398
26,5.49122321,3.731477175,5.194672956,6.422764551,1.683420936,2.926567372,3.861806927,4.035692445,3.378887677,4.037231128,1.881331356,3.934636205,1.104884953
27,4.288591223,1.587090858,2.963229596,-0.11454882,10.00056003,4.788520959,-2.337337678,3.682696293,3.714088056,2.701362642,4.238657951,3.914261612,3.090366127
28,1.171371953,3.331234176,5.631857225,5.033077585,5.407577273,5.67826027,6.875704262,7.145761531,1.519953661,3.961574452,3.761582333,5.513056982,3.788767352
29,5.730700419,3.289660881,4.827138598,11.45022311,2.0922129,1.47213629,4.067117666,6.716358275,3.830726056,1.876947205,7.510068833,2.98590671,4.451115901
30,4.513152289,3.985355044,2.833474164,2.214922988,3.776437219,2.547535114,0.078924518,2.680930495,3.073586421,3.81048152,4.418327401,3.819630759,5.494165959
31,5.004316192,2.399698407,4.928000993,3.407427291,2.613480771,1.340283517,3.127340723,0.528652948,2.85737654,7.702450671,4.003810371,-0.272604333,2.634381469
32,3.17701798,5.202500948,5.970550308,6.086658151,2.030746549,4.136350753,4.321960277,3.892321494,-0.090417579,-0.571743515,4.251191304,4.04570716,5.799810406
33,-0.132188857,2.230148261,4.616228333,1.724951716,7.651926891,3.518132924,4.677144634,2.887253092,3.433237493,2.412925325,-0.334240557,1.597412581,1.605553148
34,1.810495375,0.121662439,6.360795606,9.164225489,3.538496502,4.579715371,8.700901331,5.537737669,3.145598402,4.117794668,8.224776336,2.927934388,1.590499963
35,4.643106278,1.72334322,8.650044508,2.44915832,3.014862121,2.21587512,-0.382207866,7.518602819,3.203624497,3.881454796,2.831522356,4.642775711,3.068779748
36,2.881661558,3.317004604,4.048841401,3.890116506,4.357952665,9.502902932,4.821859598,3.345285527,1.33007248,5.524433051,2.187195295,2.460972358,5.831607569
37,4.982293667,0.502868901,2.812980994,3.701622438,4.150286699,2.961319831,4.741923585,5.85659567,3.014513246,2.786159592,6.478629647,4.865484801,-0.41086649
38,1.96528165,10.13249145,5.974207271,5.964641864,5.71876644,5.060329046,3.75478673,1.950316745,1.941006616,2.064086645,6.325830326,-1.186872493,8.271969776
39,1.305859369,3.747863876,3.938058583,1.642084828,2.880246503,3.685171967,-0.649720969,9.476480574,1.744062872,3.894362383,0.472407282,6.228969917,4.06908625
40,0.064386519,4.264123651,2.037610571,3.244008972,9.494634592,3.997301316,3.906351547,5.212541582,5.428553099,4.687313914,2.910518823,3.331624309,3.976195229
41,0.166580216,-0.01268532,2.00771836,8.746387657,2.410157873,3.42518256,3.420924743,5.605369096,1.120892362,2.794881958,4.939038602,0.198159566,5.708362462
42,4.13713261,8.279601561,6.068880425,4.938177155,-2.112613405,6.782082531,6.632606017,2.914823716,7.40749199,4.465177055,1.340841466,0.109814688,5.590093658
43,0,0,0,0,0,0,0,0,0,0,0,0,0
